Date,Close
2019-01,128.17461919354838
2019-02,127.22094807142857
2019-03,137.32703912903227
2019-04,165.60383050000002
2019-05,220.18585251612902
2019-06,274.75829873333333
2019-07,248.28966696774194
2019-08,199.817084
2019-09,185.99206443333333
2019-10,179.25207677419354
2019-11,173.65195056666667
2019-12,138.0417032580645
2020-01,156.9727175483871
2020-02,238.75628658620687
2020-03,160.37624280645161
2020-04,171.94698943333333
2020-05,208.1258549354839
2020-06,236.1592289666667
2020-07,259.40554222580647
2020-08,402.1534817419355
2020-09,368.37303460000004
2020-10,376.222389483871
2020-11,486.1445139
2020-12,622.4884310322581
2021-01,1202.5028018064518
2021-02,1699.8089207142857
2021-03,1736.8622220645163
2021-04,2297.6727538333334
2021-05,3140.7307600967742
2021-06,2335.7923909666665
2021-07,2131.0803615806453
2021-08,3098.384938806452
2021-09,3337.0526855666667
2021-10,3818.7679955806448
2021-11,4434.1287108999995
2021-12,4044.7424788709677
2022-01,3054.655100193548
2022-02,2868.178972571429
2022-03,2876.3423403225806
2022-04,3096.9862712000004
2022-05,2187.3189146451614
2022-06,1382.7722758666666
2022-07,1359.4077778387095
2022-08,1699.2303703548387
2022-09,1484.2294556333334
2022-10,1367.6156201935485
2022-11,1297.9301839666666
2022-12,1237.1058900967741
2023-01,1466.950026
2023-02,1624.6056300714285
2023-03,1675.3578511290323
2023-04,1916.9346516666667
2023-05,1845.6263782258063
2023-06,1818.7055786666667
2023-07,1893.3452897419354
2023-08,1756.9781573548387
2023-09,1621.2991984333335
2023-10,1660.0235083870966
2023-11,1888.9391276666668
